STT,Dịch vụ định kỳ,Chi tiết công việc,Đơn giá,Đơn giá_min,Đơn giá_max,Đơn giá_type,Đơn vị,Số lượng,Thời gian dự tính,"Đơn giá
(Chưa bao gồm VAT)","Đơn giá
(Chưa bao gồm VAT)_min","Đơn giá
(Chưa bao gồm VAT)_max","Đơn giá
(Chưa bao gồm VAT)_type",Ghi chú,category
1,"Report tài khoản đã verify, tài khoản có tick xanh, tài khoản từng bị report nhiều lần…",Report bản quyền,15.000.000 - 25.000.000,15000000.0,25000000.0,range,Tài khoản,1,1-30 ngày ,15.000.000 - 25.000.000,15000000.0,25000000.0,range,"Tùy thuộc vào độ phức tạp, tình trạng tài khoản của KOLS thuê bảo mật, tài khoản đã từng bị report nhiều lần và được lấy lại, được Facebook  xác định danh tính. Thời gian xử lý phụ thuộc vào thời gian support Facebook xem xét và trả lời mail.",I. Account cá nhân
1,Gỡ post đăng trên Group kín,"Xoá post giữ nguyên Fanpage/Group
- Hạn chế lượt tiếp cận trong quá trình Report Fanpage/Group
-  Xử lý triệt để khi Report Fanpage/Group thành công",17.000.000 - 18.000.000,17000000.0,18000000.0,range,Post,1,24 tiếng - 48 tiếng,17.000.000 - 18.000.000,17000000.0,18000000.0,range,Tùy thuộc vào nội dung bài post có đủ ảnh + logo +  tên doanh nghiệp để report vi phạm bản quyền và thời gian chờ Facebook phản hồi. Bài post ko có đủ căn cứ thời gian sẽ lâu hơn. Gửi chốt vào ngày thứ 7 và chủ nhật sẽ bị phát sinh thời gian chờ do Facebook làm việc duyệt chậm vào ngày nghỉ.,II. Fanpage/ Group
2,Report Group/ Fanpage,Report bản quyền và vi phạm quy định Facebook để  xoá/ gỡ/ khoá vĩnh viễn ,15.000.000 - 25.000.000,15000000.0,25000000.0,range,Group kín/ Fanpage,1,15 ngày - 45 ngày,15.000.000 - 25.000.000,15000000.0,25000000.0,range,"Tùy thuộc vào độ khó, bảo mật của Group/Fanpage",II. Fanpage/ Group
1,Video trên kênh Youtube,Gỡ bỏ thông tin xấu hoặc xóa bỏ,Thoả thuận,,,negotiable,Post,1,2 - 15 ngày,"Thỏa thuận
Ước tính > 35.000.000 (Đa phần khách có nhu cầu rơi vào trường hợp video có reaction lớn. kênh có lượt follow tương đối)",35000000.0,35000000.0,fixed,Căn cứ vào mức độ khủng hoảng và uy tín của kênh,"III. Youtube, Tiktok"
2,Video trên kênh Tiktok,Gỡ bỏ thông tin xấu hoặc xóa bỏ,Thoả thuận,,,negotiable,Post,1,2 - 15 ngày,"Thỏa thuận
Ước tính > 25.000.000 (Đa phần khách có nhu cầu rơi vào trường hợp video có reaction lớn. kênh có lượt follow tương đối)",25000000.0,25000000.0,fixed,Căn cứ vào mức độ khủng hoảng và uy tín của kênh,"III. Youtube, Tiktok"
3,Kênh Youtube,Gỡ bỏ thông tin xấu hoặc xóa bỏ,Thoả thuận,,,negotiable,Tài khoản,1,2 - 15 ngày,"Thỏa thuận
Ước tính > 16.000.000 (Đa phần khách có nhu cầu rơi vào trường hợp video có reaction lớn. kênh có lượt follow tương đối)",16000000.0,16000000.0,fixed,Căn cứ vào mức độ khủng hoảng và uy tín của kênh,"III. Youtube, Tiktok"
4,Kênh Tiktok,Gỡ bỏ thông tin xấu hoặc xóa bỏ,Thoả thuận,,,negotiable,Tài khoản,1,2 - 15 ngày,"Thỏa thuận
Ước tính > 20.000.000 (Đa phần khách có nhu cầu rơi vào trường hợp video có reaction lớn. kênh có lượt follow tương đối)",20000000.0,20000000.0,fixed,Căn cứ vào mức độ khủng hoảng và uy tín của kênh,"III. Youtube, Tiktok"
1,Gỡ bài bằng phương án kỹ thuật,Gỡ bỏ thông tin xấu hoặc xóa bỏ: Lỗi link 404/403/405,25.000.000 - 45.000.000,25000000.0,45000000.0,range,Link,1,20 - 45 ngày,25.000.000 - 45.000.000,25000000.0,45000000.0,range,"Căn cứ vào mức độ khủng hoảng và uy tín của kênh
Chỉ áp dụng với trang tin tổng hợp chưa được cấp phép",III. Website
2,Xóa Index Google,"Xóa index Google: Google trả về kết quả hiển thị: 
“Không tìm thấy site….”",25.000.000 - 45.000.000,25000000.0,45000000.0,range,Link,1,30 - 50 ngày,25.000.000 - 45.000.000,25000000.0,45000000.0,range,Căn cứ vào mức độ khủng hoảng và uy tín của kênh,III. Website
1,Quan hệ BC,Gỡ bỏ thông tin xấu hoàn toàn (lỗi link 404 hoặc thay thế bằng bài viết khác ),Thoả thuận,,,negotiable,Link,1, 1 - 5 ngày,Thoả thuận,,,negotiable,"Phụ thuộc tin mới hay đã cũ, phụ thuộc từng báo, phụ thuộc vào mức độ  ""nhạy cảm"" của từng sự vụ.",XỬ LÝ QUAN HỆ BÁO CHÍ
